state,year,rows,flood_event_rows,districts,avg_rainfall_mm,max_rainfall_mm,avg_river_daily_mean
Assam,2019,12045,792,33,6.024154067516231,199.7370055,
Assam,2020,10000,3331,33,4.576403464497799,212.4703458,
Assam,2021,10000,2390,33,4.5731539852797,158.2960558,
Assam,2022,10000,1671,36,6.948365384212281,245.0028972,1.5542737525505286
Assam,2023,10000,2127,33,5.71552881421173,266.780213284,3.2926765238530944
Kerala,2018,5110,1120,14,7.078619680351859,211.2385673,
Kerala,2019,5110,434,14,7.800532793505088,250.7330399,
Kerala,2020,5124,1106,14,3.335614683619048,91.80407872,
Kerala,2021,5110,224,14,9.197076738575538,165.969957,9.700453148255807
Kerala,2022,5110,574,16,7.846463670568414,130.2351894,5.915680945844535
Kerala,2023,5110,0,14,6.225345119142153,161.0710298487,
Odisha,2019,10950,1530,30,4.334416363768767,207.4602451,109.22625163756594
Odisha,2020,10000,1156,30,2.5735839846907997,146.1116459,138.06298810504262
Odisha,2021,10000,1401,30,4.0187354992166,306.0915336,105.18892824971495
Odisha,2022,10000,762,41,3.8905605918925197,148.1201328,
Odisha,2023,10000,1315,30,3.8053808101887596,269.5369954728,
Uttar Pradesh,2019,26645,1606,73,2.3437739084449616,142.8486322,
Uttar Pradesh,2020,26718,3796,73,1.7058462187399508,116.9657705,
Uttar Pradesh,2021,27375,2025,75,2.783977217386188,249.8378746,52.19972958782943
Uttar Pradesh,2022,27217,3075,85,2.2511637608717163,172.3768932,78.57492529116273
Uttar Pradesh,2023,26645,3431,73,2.1842724619545355,135.8061652639,73.04195330239375
